VANE_TOTAL_COUNT_FLOAT,ID,VANE_TOTAL_COUNT,VANE_LEAN,T_VANE_REG,T_VANE_MNT,T_HUB_REG,T_HUB_MNT,T_OUTER_REG,T_OUTER_MNT,VANE_LE_RADIUS,AERO_BLOCKAGE,D_OUTER,D_HUB,VANE_CORDA_LENGTH,WL_SHROUD_ENABLED,WL_VANE_SHROUD_ENABLED,WL_VANE_HUB_ENABLED,WL_HUB_ENABLED,NX_FILE,MAX_DEFORMATION,MAX_STRESS,BLM_RAW_DATA,BUCKLING_LOAD_MULTIPLIER,VOLUME,WEIGHT,PDS_A,PDS_B,PDS_C,WSS_A,WSS_B,WSS_C
10.8421,88,10,1.9298,1.0263,3.7632,3.6842,3.3947,2.2632,2.8684,16.1072,109591.3181,1100.0000,420.0000,130.0,1,1,1,1,cii-088,0.0373,16.2677,289.9213,289.9213,6549047.6686,53.5057,0.7897786,0.7390345,0.6819068,0.4739116,0.8982393,0.6240760
10.6053,89,10,19.6491,3.3158,2.8684,1.2368,1.6053,1.1053,2.4737,15.1779,109591.3181,1100.0000,420.0000,130.0,1,1,1,1,cii-089,0.0593,25.4922,117.6694,117.6694,7034102.7858,57.4686,0.6142403,0.7573437,0.8853452,0.4520764,0.8875311,0.6555468
15.2632,90,15,10.5263,3.1842,1.2632,2.3684,1.6316,3.5263,3.0526,10.5634,109591.3181,1100.0000,420.0000,105.0,1,1,1,1,cii-090,0.0263,19.2741,535.9144,535.9144,8554653.4629,69.8915,0.6828673,0.9436599,0.7993115,0.4798610,0.9161032,0.6599298
9.7368,92,9,10.1754,1.7632,3.3947,3.2105,1.8158,2.7368,3.9211,17.6254,109591.3181,1100.0000,420.0000,135.0,1,1,1,1,cii-092,0.0370,20.7639,391.0851,391.0851,7562096.9682,61.7823,0.7807249,0.9085379,0.8497544,0.4691825,0.8808366,0.6448319
8.6316,93,8,10.7018,3.0263,3.6053,3.5526,3.0000,1.9211,2.2105,19.7951,109591.3181,1100.0000,420.0000,140.0,1,1,1,1,cii-093,0.0490,25.8400,-206.2902,206.2902,7568584.7630,61.8353,0.7874438,0.8771269,0.8422184,0.4749037,0.8811213,0.6151797
14.3158,95,14,4.5614,2.0263,2.8158,1.8158,3.9737,2.8684,2.3947,11.4752,109591.3181,1100.0000,420.0000,110.0,1,1,1,1,cii-095,0.0298,22.2863,-312.8476,312.8476,7296732.7156,59.6143,0.7882197,0.8462868,0.6880456,0.4797001,0.9335090,0.7051140
11.0789,97,11,7.7193,3.6316,3.5263,1.5789,1.1053,2.5263,1.9474,14.5185,109591.3181,1100.0000,420.0000,125.0,1,1,1,1,cii-097,0.0369,22.2889,-204.4690,204.4690,8251368.3676,67.4137,0.7964778,0.8985146,0.7978904,0.4639230,0.8864069,0.6607507
10.2895,98,10,15.9649,2.5263,1.3684,2.9474,1.9737,2.2895,3.9474,15.4948,109591.3181,1100.0000,420.0000,130.0,1,1,1,1,cii-098,0.0375,15.9057,282.0489,282.0489,7332459.8146,59.9062,0.6648271,0.8159504,0.9578640,0.4749413,0.9144108,0.6641797
11.3158,99,11,2.6316,1.8684,1.3158,3.6579,2.0263,2.0263,1.0000,14.6358,109591.3181,1100.0000,420.0000,125.0,1,1,1,1,cii-099,0.0418,18.7150,-93.8465,93.8465,5709372.6582,46.6456,0.7906270,0.7763435,0.6845070,0.4669278,0.9103329,0.6321687
13.9211,102,13,2.4561,1.0526,3.0789,1.9474,2.7105,3.4474,3.2895,12.3858,109591.3181,1100.0000,420.0000,115.0,1,1,1,1,cii-102,0.0271,22.6738,-460.7147,460.7147,6728277.5057,54.9700,0.7487359,0.8130464,0.6555282,0.4849085,0.9230630,0.6757972
